company_name,fit_score,industry_alignment,mission_alignment,career_alignment,growth_potential,reasoning,best_roles,interesting_factors,red_flags,confidence,run_id,source_path,timestamp,original_fit_score,calibrated_fit_score,calibration_feedback,calibrated_at
Bia Neuroscience,7.8,9.5,9.0,6.5,6.2,"Early-stage sleep/neuroscience wearable company; strong signal-domain fit, but current hiring evidence is sparse. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with sleep neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Sleep neurotechnology; Legacy user-selected LAMP target,Current hiring or company evidence is limited,7.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/bia-neuroscience.json,2026-08-05T16:26:30+00:00,,,,
Boston Consulting Group - BCG X,7.5,7.0,7.0,8.0,8.0,"Active technology-build and AI consulting unit, succeeding the legacy Gamma branding. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with ai and strategy consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,AI and strategy consulting; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/boston-consulting-group-bcg-x.json,2026-08-05T16:26:30+00:00,,,,
Bright Minds Biosciences,7.7,8.5,9.0,6.5,6.5,"Clinical-stage neuropsychiatric biotech; small company and hiring volatility reduce career certainty. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic biopharma; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Psychedelic biopharma; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/bright-minds-biosciences.json,2026-08-05T16:26:30+00:00,,,,
CENGN,5.6,5.0,6.0,5.5,6.0,"Active Canadian advanced-networking and innovation organization; weak direct health-domain fit. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with technology innovation nonprofit; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Technology innovation nonprofit; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/cengn.json,2026-08-05T16:26:30+00:00,,,,
COMPASS Pathways,7.2,8.5,9.0,5.5,5.7,"Active clinical-stage mental-health biotech; scientific alignment strong, Canadian hiring uncertain. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic biopharma; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Psychedelic biopharma; Legacy user-selected LAMP target,Current hiring or company evidence is limited,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/compass-pathways.json,2026-08-05T16:26:30+00:00,,,,
Calm,7.1,8.0,8.5,5.3,7.0,"Active consumer and employer mental-health platform; mostly US-centric hiring. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with digital mental health; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital mental health; Legacy user-selected LAMP target,Canadian hiring support is unverified,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/calm.json,2026-08-05T16:26:30+00:00,,,,
Cerebral,7.0,8.0,8.5,5.5,6.2,"Active US tele-mental-health company; Canadian work eligibility is uncertain. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with digital mental health; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital mental health; Legacy user-selected LAMP target,Current hiring or company evidence is limited,9.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/cerebral.json,2026-08-05T16:26:30+00:00,,,,
Charles River Laboratories,7.4,8.0,8.0,6.5,7.0,"Active global CRO supporting drug discovery; broad scientific roles but less direct ML ownership. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with preclinical research services; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Preclinical research services; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/charles-river-laboratories.json,2026-08-05T16:26:30+00:00,,,,
Chondros Bio,6.5,7.5,8.5,4.5,5.5,"Chondros Bio offers strong scientific and healthcare-mission alignment through regenerative medicine and biomaterials, with a Vancouver location that fits the candidate's preferences. The candidate's quantitative research background could transfer to R&D or translational data work, but no ML-focused role or active hiring signal was verified and the company appears very early stage.",Research Scientist; Data Scientist; Scientific Consultant,UBC spinout; Vancouver location; Regenerative medicine platform; Translational research mission,No verified machine-learning focus; No careers or active-hiring signal found; Very early-stage company,7.0,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/chondros-bio.json,2026-08-02T00:53:35+00:00,,,,
Clarivate,5.6,5.0,6.0,5.5,6.0,"Active global scientific-data and analytics employer with consulting and healthcare intelligence roles. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with scientific information and analytics; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Scientific information and analytics; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/clarivate.json,2026-08-05T16:26:30+00:00,,,,
Cognizant,7.5,7.0,7.0,8.0,8.0,"Active global consulting and technology-services employer with healthcare and AI practices. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with technology consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,Technology consulting; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/cognizant.json,2026-08-05T16:26:30+00:00,,,,
Corti,8.5,9.0,8.5,8.5,8.0,"Active clinical AI company focused on healthcare conversations and decision support. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with healthcare ai; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Healthcare AI; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/corti.json,2026-08-05T16:26:30+00:00,,,,
Cortical Labs,9.2,9.8,9.5,9.0,8.4,"Cortical Labs is an exceptional domain match: its biological-computing platform combines living neural cultures, electrophysiology, closed-loop experiments, neuroscience, Python tooling, and translational research. The candidate's neuroscience PhD, multimodal neural-data analysis, biomedical ML, experimental biology, and reproducible Python pipelines map directly onto the company's scientific problems, with the strongest alignment in neuroscience or computationally integrated scientist work. The score is moderated by the Melbourne location and Australian work-authorization uncertainty, the startup and emerging-market risk of biological computing, and the possibility that some current roles are predominantly wet-lab rather than computational.",Staff / Senior Staff / Principal Scientist (Neuroscience); Research Scientist at the neuroscience–computation interface; Computational Neuroscientist; Neural Data / Electrophysiology Scientist; Applied Scientist for biological neural networks,"CL1 integrates living neurons with silicon and real-time bidirectional stimulation; Python SDK and Jupyter workflows expose neural recordings, stimulation, and closed-loop algorithms; Research program spans neural plasticity, reinforcement learning, electrophysiology, stem-cell-derived neurons, and drug-response assays; Commercial hardware and cloud access indicate movement beyond a research-only prototype; The company is actively expanding its neuroscience and biology team","Roles are Melbourne hybrid; Australian work authorization and relocation support are unverified; The Cell Culture and Biology openings may be too wet-lab-heavy for the candidate's preferred computational trajectory; Biological computing remains technically early, with commercial scale and durable market demand still uncertain; Compensation, relocation assistance, reporting lines, and exact role-level expectations are not visible in the captured postings; Work involving living neural systems raises ethical-governance questions worth discussing during interviews",9.0,20260810T_cortical_labs_company,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260810T_cortical_labs_company/company_evaluations/cortical-labs.json,2026-08-10T17:35:39+00:00,,,,
Creative Biolabs,6.9,8.0,7.5,6.0,6.5,"Creative Biolabs aligns well with biotech, bioinformatics, drug discovery, and neuroscience, and its research-service platforms could use computational biology or scientific data expertise. The fit is moderated because no specific ML role, Canadian team scope, or active hiring signal was verified from the official homepage.",Bioinformatician; Computational Biologist; Data Scientist; Scientific Consultant,Biotherapeutics discovery platforms; Bioinformatics and AI listed by Life Sciences BC; Neuroscience research support; Broad antibody and cell/gene therapy work,No active-hiring signal verified; Canadian role availability is unknown; Service/CRO environment may offer less product ownership,7.0,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/creative-biolabs.json,2026-08-02T00:54:01+00:00,,,,
Cybin,7.7,8.5,9.0,6.5,6.5,"Active clinical-stage neuropsychiatry company with Canadian roots and US operations. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic biopharma; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Psychedelic biopharma; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/cybin.json,2026-08-05T16:26:30+00:00,,,,
Deep Genomics,8.7,9.0,8.5,9.2,8.0,"Active Toronto AI-biotech focused on RNA therapeutics; outstanding computational biology fit. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with ai drug discovery; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,AI drug discovery; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/deep-genomics.json,2026-08-05T16:26:30+00:00,,,,
Deloitte,7.5,7.0,7.0,8.0,8.0,"Omnia AI is Deloitte Canada's AI practice; broad client-facing analytics and AI work. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with ai and data consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,AI and data consulting; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/deloitte.json,2026-08-05T16:26:30+00:00,,,,
Dialogue,5.9,5.0,6.0,6.2,6.0,"Active Montreal-founded virtual-care platform within Sun Life; strong local health-data adjacency. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with digital healthcare; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital healthcare; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/dialogue.json,2026-08-05T16:26:30+00:00,,,,
Eli Health,7.1,8.0,8.0,6.2,6.2,"Montreal/US hormone-monitoring startup; strong biosensing/health-data adjacency, limited role volume. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with hormone health diagnostics; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Hormone health diagnostics; Legacy user-selected LAMP target,,9.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/eli-health.json,2026-08-05T16:26:30+00:00,,,,
Enosis Therapeutics,7.2,8.5,9.0,5.5,5.7,"Small digital-therapeutics company supporting psychedelic therapy; hiring status unclear. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic mental health technology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Psychedelic mental health technology; Legacy user-selected LAMP target,Current hiring or company evidence is limited,8.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/enosis-therapeutics.json,2026-08-05T16:26:30+00:00,,,,
Fractal Analytics,7.5,7.0,7.0,8.0,8.0,"Active global AI and analytics consultancy with healthcare/life-sciences work. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with ai and analytics consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,AI and analytics consulting; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/fractal-analytics.json,2026-08-05T16:26:30+00:00,,,,
Fraser Health,7.5,8.0,8.5,7.0,6.5,"Large BC health authority with analytics and clinical-data roles; Vancouver-area location penalty is modest. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with public healthcare; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Public healthcare; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/fraser-health.json,2026-08-05T16:26:30+00:00,,,,
Fusion Analytics,7.5,7.0,7.0,8.0,8.0,"Analytics consultancy; exact legacy-company identity and current Canadian hiring are not fully verified. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with analytics consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,Analytics consulting; Legacy user-selected LAMP target,,6.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/fusion-analytics.json,2026-08-05T16:26:30+00:00,,,,
Gemina Laboratories,6.4,7.0,7.5,5.0,6.0,"Gemina Laboratories has credible diagnostics and biotechnology alignment, with a research-intensive platform that could benefit from scientific data analysis. The match is less direct for this candidate because no ML, bioinformatics, or computational-biology role was verified and no active hiring signal was found.",Data Scientist; Research Scientist; Scientific Consultant,Next-generation diagnostics; Proprietary biosensing chemistry; Healthcare and bioprocessing applications; BC life-sciences ecosystem,No verified ML or computational biology focus; No active-hiring signal found; Role availability is unknown,7.0,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/gemina-laboratories.json,2026-08-02T00:54:28+00:00,,,,
Genevant Sciences,7.4,8.0,8.0,6.5,7.0,"Existing inventory alias likely; Vancouver-rooted lipid-nanoparticle and RNA therapeutics company. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with rna therapeutics; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,RNA therapeutics; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/genevant-sciences.json,2026-08-05T16:26:30+00:00,,,,
Gilgamesh Pharmaceuticals,7.3,8.5,9.0,5.3,6.5,"Clinical-stage neuropsychiatric biotech with psychedelic-inspired therapeutics; strong science fit, US-based. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with neuropsychiatric biopharma; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Neuropsychiatric biopharma; Legacy user-selected LAMP target,Canadian hiring support is unverified,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/gilgamesh-pharmaceuticals.json,2026-08-05T16:26:30+00:00,,,,
Google DeepMind,8.1,8.0,8.0,8.0,8.5,"Top-tier AI research organization; very strong methods fit but limited biomedical specificity and high competition. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with ai research; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,AI research; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/google-deepmind.json,2026-08-05T16:26:30+00:00,,,,
Gradient Ascent AI,7.5,7.0,7.0,8.0,8.0,"Canadian applied-AI consultancy; broad project fit, with company scale and hiring signal requiring confirmation. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with ai consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,AI consulting; Legacy user-selected LAMP target,,8.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/gradient-ascent-ai.json,2026-08-05T16:26:30+00:00,,,,
Headspace,7.5,8.0,8.5,6.5,7.0,"Active global mental-health platform; Ginger merged with Headspace in 2021 and is no longer separate. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with digital mental health; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital mental health; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/headspace.json,2026-08-05T16:26:30+00:00,,,,
HealthTech Connex,8.5,9.5,9.0,8.2,7.0,"Active Surrey, BC brain-health technology company; NeuroCatch is its flagship platform. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with neurotechnology and brain health; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Neurotechnology and brain health; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/healthtech-connex.json,2026-08-05T16:26:30+00:00,,,,
IBM,7.5,7.0,7.0,8.0,8.0,"Active large employer with Canadian AI, research, data and consulting roles. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with enterprise ai and consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,Enterprise AI and consulting; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/ibm.json,2026-08-05T16:26:30+00:00,,,,
IQVIA,8.5,9.0,8.5,8.5,8.0,"Active global life-sciences data, analytics, clinical-research and consulting employer with Canadian operations. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with life-sciences data and consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,Life-sciences data and consulting; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/iqvia.json,2026-08-05T16:26:30+00:00,,,,
IVADO Labs,7.7,7.0,7.0,8.7,8.0,"Montreal applied-AI organization bridging academia and industry; strong consulting/research fit. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with applied ai consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,Applied AI consulting; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/ivado-labs.json,2026-08-05T16:26:30+00:00,,,,
Injoy (Phyla Technologies),5.6,5.0,6.0,5.5,6.0,"Montreal digital gut-health product formerly branded Phyla; app remains available, but team/hiring signal is limited. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with digital gut health; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital gut health; Legacy user-selected LAMP target,,9.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/injoy-phyla-technologies.json,2026-08-05T16:26:30+00:00,,,,
Interaxon (Muse),8.5,9.5,9.0,8.2,7.0,"Active Toronto-origin EEG wearable and brain-sensing company; directly aligned with neurotechnology and signal analysis. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with wearable neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Wearable neurotechnology; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/interaxon-muse.json,2026-08-05T16:26:30+00:00,,,,
Kinaxis,6.5,5.5,5.5,7.5,7.5,"Active Ottawa-headquartered supply-chain software company; strong data/AI but weak biomedical domain fit. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with enterprise ai software; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Enterprise AI software; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/kinaxis.json,2026-08-05T16:26:30+00:00,,,,
"Kokua Pharma, Inc",6.2,7.0,8.0,4.5,5.5,"Kokua Pharma has strong healthcare and translational-science mission alignment through its clinical-stage anaphylaxis treatment. However, its work is centered on inhaled drug development and clinical operations rather than ML, bioinformatics, or computational biology, and no relevant hiring signal was verified.",Data Scientist; Research Scientist; Scientific Consultant,Clinical-stage therapeutic program; Needle-free emergency treatment; Canadian clinical-development expertise; Early human-study evidence,No verified ML or computational biology focus; No active-hiring signal found; Small clinical-stage pipeline,7.5,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/kokua-pharma-inc.json,2026-08-02T00:54:56+00:00,,,,
